model,sample,bitrate_kbps,payload_kb,elapsed_s,wer,error
google/gemini-3.1-flash-lite-preview,3,64,196.4,13.447,0.04,
google/gemini-3.1-flash-lite-preview,4,16,44.9,13.746,0.04225352112676056,
google/gemini-3.1-flash-lite-preview,4,24,67.2,2.596,0.028169014084507043,
google/gemini-3.1-flash-lite-preview,4,32,89.5,1.896,0.04225352112676056,
google/gemini-3.1-flash-lite-preview,4,48,134.2,4.731,0.028169014084507043,
google/gemini-3.1-flash-lite-preview,4,64,178.9,12.892,0.028169014084507043,
mistralai/voxtral-small-24b-2507,1,16,42.6,1.122,0.014492753623188406,
mistralai/voxtral-small-24b-2507,1,24,63.8,1.441,0.0,
mistralai/voxtral-small-24b-2507,1,32,85.0,0.975,0.0,
mistralai/voxtral-small-24b-2507,1,48,127.4,0.971,0.0,
mistralai/voxtral-small-24b-2507,1,64,169.9,0.981,0.014492753623188406,
mistralai/voxtral-small-24b-2507,2,16,42.3,0.833,0.0,
mistralai/voxtral-small-24b-2507,2,24,63.4,0.918,0.0,
mistralai/voxtral-small-24b-2507,2,32,84.5,0.968,0.0,
mistralai/voxtral-small-24b-2507,2,48,126.6,0.953,0.0,
mistralai/voxtral-small-24b-2507,2,64,168.8,1.078,0.0,
mistralai/voxtral-small-24b-2507,3,16,49.2,0.986,0.06666666666666667,
mistralai/voxtral-small-24b-2507,3,24,73.7,1.024,0.04,
mistralai/voxtral-small-24b-2507,3,32,98.2,1.006,0.04,
mistralai/voxtral-small-24b-2507,3,48,147.3,1.037,0.04,
mistralai/voxtral-small-24b-2507,3,64,196.4,1.03,0.04,
mistralai/voxtral-small-24b-2507,4,16,44.9,0.867,0.028169014084507043,
mistralai/voxtral-small-24b-2507,4,24,67.2,0.923,0.028169014084507043,
mistralai/voxtral-small-24b-2507,4,32,89.5,2.064,0.028169014084507043,
mistralai/voxtral-small-24b-2507,4,48,134.2,0.962,0.028169014084507043,
mistralai/voxtral-small-24b-2507,4,64,178.9,1.001,0.028169014084507043,
google/gemini-2.5-flash,1,16,42.6,1.572,0.028985507246376812,
google/gemini-2.5-flash,1,24,63.8,1.642,0.0,
google/gemini-2.5-flash,1,32,85.0,1.844,0.014492753623188406,
google/gemini-2.5-flash,1,48,127.4,1.936,0.043478260869565216,
google/gemini-2.5-flash,1,64,169.9,12.442,0.0,
google/gemini-2.5-flash,2,16,42.3,7.396,0.0,
google/gemini-2.5-flash,2,24,63.4,2.175,0.014285714285714285,
google/gemini-2.5-flash,2,32,84.5,1.746,0.0,
google/gemini-2.5-flash,2,48,126.6,5.069,0.0,
google/gemini-2.5-flash,2,64,168.8,2.598,0.0,
google/gemini-2.5-flash,3,16,49.2,1.583,0.06666666666666667,
google/gemini-2.5-flash,3,24,73.7,1.837,0.06666666666666667,
google/gemini-2.5-flash,3,32,98.2,1.651,0.04,
google/gemini-2.5-flash,3,48,147.3,2.044,0.02666666666666667,
google/gemini-2.5-flash,3,64,196.4,2.216,0.05333333333333334,
google/gemini-2.5-flash,4,16,44.9,1.546,0.014084507042253521,
google/gemini-2.5-flash,4,24,67.2,1.425,0.014084507042253521,
google/gemini-2.5-flash,4,32,89.5,1.455,0.014084507042253521,
google/gemini-2.5-flash,4,48,134.2,1.589,0.014084507042253521,
google/gemini-2.5-flash,4,64,178.9,2.157,0.028169014084507043,
google/gemini-3-flash-preview,1,16,42.6,2.134,0.014492753623188406,
google/gemini-3-flash-preview,1,24,63.8,2.088,0.014492753623188406,
google/gemini-3-flash-preview,1,32,85.0,1.939,0.014492753623188406,
google/gemini-3-flash-preview,1,48,127.4,1.913,0.014492753623188406,
google/gemini-3-flash-preview,1,64,169.9,1.701,0.0,
google/gemini-3-flash-preview,2,16,42.3,2.327,0.014285714285714285,
google/gemini-3-flash-preview,2,24,63.4,1.923,0.0,
google/gemini-3-flash-preview,2,32,84.5,2.025,0.0,
google/gemini-3-flash-preview,2,48,126.6,2.135,0.0,
google/gemini-3-flash-preview,2,64,168.8,2.081,0.0,
google/gemini-3-flash-preview,3,16,49.2,2.021,0.013333333333333334,
google/gemini-3-flash-preview,3,24,73.7,2.573,0.013333333333333334,
google/gemini-3-flash-preview,3,32,98.2,2.128,0.02666666666666667,
google/gemini-3-flash-preview,3,48,147.3,1.917,0.013333333333333334,
google/gemini-3-flash-preview,3,64,196.4,2.654,0.013333333333333334,
google/gemini-3-flash-preview,4,16,44.9,2.414,0.028169014084507043,
google/gemini-3-flash-preview,4,24,67.2,4.038,0.0,
google/gemini-3-flash-preview,4,32,89.5,2.718,0.04225352112676056,
google/gemini-3-flash-preview,4,48,134.2,1.897,0.014084507042253521,
google/gemini-3-flash-preview,4,64,178.9,1.906,0.04225352112676056,
xiaomi/mimo-v2-omni,1,16,42.6,5.265,0.014492753623188406,
xiaomi/mimo-v2-omni,1,24,63.8,4.616,0.014492753623188406,
xiaomi/mimo-v2-omni,1,32,85.0,4.349,0.014492753623188406,
xiaomi/mimo-v2-omni,1,48,127.4,2.859,,
xiaomi/mimo-v2-omni,1,64,169.9,2.179,,
xiaomi/mimo-v2-omni,2,16,42.3,5.514,0.0,
